Event,Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Probability
E1,7.94,5.1,9.96,0.92,2.81,5.59,6.44,5.16,5.29,0.00037016
E2,9.5,4.21,8.16,9.11,3.53,6.76,4.43,1.29,1.83,8.68e-06
E3,5.28,3.15,0.63,2.26,1.88,2.54,1.48,2.43,1.38,0.00010347
E4,1.97,3.33,4.78,9.56,5.57,9.24,0.78,2.6,4.46,3.548e-05
E5,8.49,0.32,4.93,6.21,6.12,3.8,1.66,3.3,4.78,0.00024667
E6,4.79,7.72,9.65,7.08,7.12,2.86,1.04,4.37,8.86,0.00022194
E7,7.63,0.57,4.16,5.07,4.15,0.32,4.12,7.46,5.63,0.00014685
E8,2.84,8.07,8.96,8.25,2.36,4.37,7.68,9.23,8.53,0.00038001
E9,5.12,9.52,7.05,4.69,7.18,1.65,6.92,3.6,1.62,6.103e-05
E10,2.82,4.63,7.81,4.21,9.56,7.76,7.89,1.16,1.02,0.00010985
E11,6.6,5.74,3.55,9.88,6.53,8.57,8.9,5.52,0.33,0.00025979
E12,6.32,8.58,8.78,0.02,4.85,2.2,6.2,5.57,1.99,4.878e-05
E13,9.67,6.43,6.73,2.02,7.63,8.74,9.52,0.76,3.29,0.00011899
E14,3.06,4.52,7.7,6.12,7.66,9.1,7.58,8.75,8.84,9.465e-05
E15,4.58,3.25,3.16,6.08,8.56,2.94,1.97,2.88,8.7,0.00025773
E16,9.73,7.72,8.93,1.18,7.32,2.9,5.28,1.99,5.36,9.227e-05
E17,8.26,3.72,3.93,3.45,3.74,1.03,0.73,0.14,5.01,0.00022523
E18,8.63,6.75,0.01,8.48,8.69,7.26,0.78,4.02,2.59,0.00038286
E19,6.26,5.96,5.32,6.81,8.5,5.87,0.62,7.72,9.68,0.00012464
E20,5.42,3.71,7.94,2.61,0.79,9.32,9.35,2.96,4.13,0.00026375
E21,7.6,5.04,3.46,3.14,6.46,2.36,2.75,2.28,5.73,6.006e-05
E22,1.66,5.92,8.06,2.73,5.29,0.62,1.98,0.05,8.51,1.345e-05
E23,7.38,0.09,6.94,1.55,6.48,6.04,8.3,3.02,6.04,0.00014576
E24,5.72,4.46,4.44,5.64,8.61,7.76,3.74,6.69,5.73,0.00022578
E25,8.87,1.71,0.23,8.56,2.06,2.38,7.3,2.75,9.58,0.00010698
E26,2.04,7.42,4.6,3.91,5.0,5.36,2.52,3.46,3.11,0.00015069
E27,4.65,4.65,7.07,3.06,4.27,7.17,9.03,9.64,9.32,0.00033179
E28,5.65,1.08,6.93,1.58,7.95,4.07,3.13,5.51,0.42,0.00015346
E29,9.81,1.12,9.03,2.68,2.43,7.4,9.03,2.81,4.98,0.00033978
E30,3.55,5.65,8.43,2.05,7.9,5.72,7.27,9.57,1.99,4.507e-05
E31,8.67,4.2,3.69,3.07,6.85,5.1,6.86,9.82,4.65,0.00031266
E32,8.94,3.8,6.87,9.43,9.68,2.85,0.62,3.95,6.84,0.00036133
E33,5.86,1.97,2.23,8.72,4.3,1.68,8.18,7.36,4.43,0.00030028
E34,9.83,3.82,4.28,1.69,0.96,3.43,0.96,7.3,6.9,0.00010921
E35,8.57,0.95,3.81,3.52,8.63,5.88,5.36,7.24,0.5,0.00013632
E36,0.3,0.09,2.71,7.43,8.35,1.22,4.8,1.0,8.81,2.75e-06
E37,2.75,9.71,7.46,8.09,8.74,1.63,0.9,0.71,6.42,0.00017468
E38,9.12,0.68,2.11,6.7,9.94,5.84,1.6,4.17,9.38,2.922e-05
E39,7.95,0.78,9.97,0.95,1.78,5.97,5.6,6.63,8.61,0.00033866
